         5671145 function calls (5659259 primitive calls) in 110.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.814    0.814  110.488  110.488 d:\Users\Toby\HiveCamFINAL\scripts\missed_count_polygon_tracker.py:352(track_bees_stepwise)
      913   21.717    0.024  105.895    0.116 d:\Users\Toby\HiveCamFINAL\scripts\missed_count_polygon_tracker.py:203(stabilize_quad)
     1766   36.044    0.020   36.044    0.020 {method 'detectAndCompute' of 'cv2.Feature2D' objects}
      883   27.017    0.031   27.017    0.031 {findHomography}
     2771   13.624    0.005   13.624    0.005 {method 'astype' of 'numpy.ndarray' objects}
     1771    0.010    0.000    3.663    0.002 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\fromnumeric.py:3476(mean)
     1771    0.016    0.000    3.653    0.002 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\_methods.py:110(_mean)
     3707    3.615    0.001    3.615    0.001 {method 'reduce' of 'numpy.ufunc' objects}
      936    2.059    0.002    2.059    0.002 {method 'read' of 'cv2.VideoCapture' objects}
     1766    2.006    0.001    2.006    0.001 {resize}
     3151    0.903    0.000    1.216    0.000 {built-in method builtins.sorted}
        1    1.107    1.107    1.107    1.107 {waitKey}
      883    0.409    0.000    0.409    0.000 {method 'match' of 'cv2.DescriptorMatcher' objects}
        1    0.000    0.000    0.396    0.396 d:\Users\Toby\HiveCamFINAL\scripts\missed_count_polygon_tracker.py:288(plot_bee_counts)
        2    0.000    0.000    0.160    0.080 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\pyplot.py:872(figure)
        2    0.000    0.000    0.160    0.080 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\pyplot.py:549(new_figure_manager)
        2    0.000    0.000    0.149    0.075 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\pyplot.py:1238(savefig)
        2    0.000    0.000    0.149    0.075 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\figure.py:3334(savefig)
        2    0.000    0.000    0.149    0.075 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backend_bases.py:2049(print_figure)
  2412433    0.149    0.000    0.149    0.000 d:\Users\Toby\HiveCamFINAL\scripts\missed_count_polygon_tracker.py:234(<lambda>)
        2    0.000    0.000    0.149    0.074 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backend_bases.py:2040(<lambda>)
        2    0.000    0.000    0.149    0.074 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backends\backend_agg.py:434(print_png)
        2    0.000    0.000    0.149    0.074 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backends\backend_agg.py:424(_print_pil)
        2    0.000    0.000    0.133    0.067 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backends\backend_agg.py:375(draw)
        2    0.000    0.000    0.132    0.066 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\artist.py:92(draw_wrapper)
    244/2    0.001    0.000    0.132    0.066 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\artist.py:53(draw_wrapper)
        2    0.000    0.000    0.132    0.066 C:\Users\toby0\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\figure.py:3237(draw)
